Date,Time,kg,Hours Per Day,Waste Generated,Population
2022-02-27,02:11:40,5.145550603274766,8.0,75,76
2022-10-14,06:59:03,5.768876804325683,8.0,66,51
2022-12-19,02:29:04,8.11059222830483,8.0,69,58
2022-11-28,00:38:32,9.766644464517316,8.0,88,72
2022-12-30,06:23:50,8.955601748295727,8.0,54,99
2022-05-02,05:16:19,6.288835805476076,8.0,68,69
2022-06-08,02:43:01,9.232660050861881,8.0,91,66
2022-10-13,07:11:43,7.27472173708869,8.0,82,57
2022-06-05,00:45:34,9.059542805423266,8.0,97,99
2022-01-24,01:12:07,7.197145733438648,8.0,79,67
2022-09-27,05:41:19,6.3390416146867565,8.0,86,92
2022-02-15,05:39:48,9.20766797503105,8.0,96,72
2022-05-31,06:23:52,6.111117415229494,8.0,89,100
2022-08-25,04:27:50,8.972410506330487,8.0,71,62
2022-08-27,00:51:43,8.331700091074612,5.0,93,98
2022-04-07,03:05:28,9.265463008977697,8.0,61,60
2022-07-18,04:22:02,9.768367930246969,8.0,82,72
2022-03-04,06:26:15,8.294754435757513,8.0,60,69
2022-07-16,01:11:14,5.953988184588354,5.0,53,61
2022-01-26,05:38:10,9.393422848496554,8.0,99,72
2022-07-28,02:42:12,8.248195706466682,8.0,87,77
2022-04-12,02:48:58,9.602894369552416,8.0,64,67
2022-09-07,04:07:29,8.620111591056178,8.0,65,91
2022-05-30,05:51:09,8.537178635874515,8.0,70,54
2022-07-29,02:51:03,7.161664891635569,8.0,61,71
2022-03-16,07:36:48,5.485979352692587,8.0,96,97
2022-03-13,03:03:49,5.891840191677041,8.0,64,54
2022-03-03,05:48:07,7.826355061823547,8.0,57,79
2022-01-15,00:23:33,6.120834005861146,5.0,89,69
2022-12-13,02:41:44,5.38323755262371,8.0,88,96
2022-08-09,00:08:35,9.154742740318362,8.0,63,60
2022-09-09,00:29:49,5.222516593756412,8.0,52,72
2022-01-21,06:12:49,8.621342346620297,8.0,55,66
2022-01-20,07:36:41,9.48097475702469,8.0,75,64
2022-09-03,01:09:30,8.91642991569476,5.0,54,100
2022-11-27,02:45:53,8.43707146934441,8.0,58,62
2022-01-07,03:40:28,9.769138638344284,8.0,81,74
2022-02-12,04:08:18,5.7586610071164595,5.0,91,58
2022-05-08,07:02:56,7.489104306106175,8.0,95,75
2022-02-13,04:43:44,6.320541775958414,8.0,71,68
2022-07-18,03:29:18,5.559731522020227,8.0,100,73
2022-03-31,00:54:19,9.97780145250962,8.0,76,91
2022-04-11,01:44:45,7.8693563986359925,8.0,87,63
2022-09-03,01:00:55,6.5118147866200395,5.0,60,66
2022-05-22,00:13:36,9.752704161390778,8.0,89,86
2022-02-22,07:21:42,6.054672319582975,8.0,72,56
2022-05-11,04:58:43,6.806515360685461,8.0,68,95
2022-09-10,04:56:22,7.342258676700606,5.0,80,57
2022-02-18,05:46:35,8.143528796139199,8.0,57,64
2022-07-24,02:11:05,7.200055871757498,8.0,56,52
2022-10-14,02:24:38,7.138190750979581,8.0,52,57
2022-08-21,04:05:12,5.239767645747311,8.0,57,66
2022-04-04,05:55:19,7.942393087369803,8.0,82,69
2022-01-24,04:31:00,7.3888622779382995,8.0,63,99
2022-04-15,05:29:14,9.23512884234068,8.0,86,97
2022-02-14,06:58:29,7.576936111526372,8.0,71,97
2022-01-23,07:43:33,7.751349834754171,8.0,92,52
2022-01-19,01:00:32,9.764027410555885,8.0,100,97
2022-12-09,00:40:06,5.871441411264032,8.0,79,63
2022-05-13,01:00:08,9.992297111803351,8.0,84,100
2022-09-30,05:05:00,6.898051298791071,8.0,50,56
2022-02-14,02:21:56,5.555960140997268,8.0,91,90
2022-04-13,06:49:04,7.005671752550074,8.0,77,67
2022-08-31,07:42:47,9.519622371114437,8.0,69,65
2022-02-27,02:40:40,8.496890688338668,8.0,71,69
2022-01-26,06:33:52,8.57360639154142,8.0,55,99
2022-07-15,03:12:02,9.373068531106663,8.0,69,70
2022-03-06,02:33:46,7.356157429442115,8.0,54,69
2022-03-04,02:51:31,6.625866792619166,8.0,55,91
2022-02-18,07:15:41,9.986307198171248,8.0,85,88
2022-03-17,07:52:28,9.532291724656709,8.0,55,66
2022-04-07,02:08:25,7.588788680721942,8.0,77,86
2022-09-17,00:17:48,6.669548400354078,5.0,96,76
2022-04-16,04:23:52,7.125725170620907,5.0,100,81
2022-09-04,06:50:44,9.689319196847748,8.0,68,68
2022-07-15,03:51:42,8.804387922630985,8.0,82,62
2022-10-07,07:14:19,9.76380718024172,8.0,53,71
2022-05-15,03:15:51,9.707243869107185,8.0,82,100
2022-08-14,04:45:15,8.973129175187719,8.0,96,77
2022-09-01,02:35:50,8.40022402531519,8.0,75,76
2022-11-01,01:30:21,9.087086426236912,8.0,84,86
2022-11-16,04:55:49,9.691033512143637,8.0,87,66
2022-12-30,00:08:31,8.360990944665986,8.0,92,83
2022-04-10,07:33:39,6.086483704367601,8.0,83,68
2022-06-14,05:23:28,5.5671215058264085,8.0,77,90
2022-10-29,03:03:48,8.967640570964539,5.0,82,76
2022-11-07,07:12:22,6.191792246377567,8.0,55,66
2022-08-21,01:03:35,8.421330403709934,8.0,80,97
2022-03-23,04:33:20,9.741608856048998,8.0,72,61
2022-01-23,01:31:34,6.4061051682116865,8.0,95,75
2022-10-01,01:47:43,5.39042862804814,5.0,88,92
2022-03-13,01:10:17,7.650345742073967,8.0,77,61
2022-08-17,06:16:17,6.608899852486331,8.0,70,87
2022-07-15,01:06:27,7.529308985423435,8.0,71,95
2022-10-26,05:56:02,9.549814323008281,8.0,91,68
2022-07-11,03:16:31,9.24401723111286,8.0,68,68
2022-02-07,07:48:32,6.4723616967237465,8.0,51,72
2022-02-04,04:31:27,7.0990321896443955,8.0,58,76
2022-12-18,05:42:51,5.566924905210905,8.0,83,72
2022-11-15,07:59:01,6.230487354373349,8.0,77,53
2022-05-26,02:22:17,7.233616500862166,8.0,53,58
2022-03-09,07:42:24,7.919826219130736,8.0,57,93
2022-09-23,00:43:53,6.921729587222149,8.0,78,61
2022-12-16,00:03:57,7.338977763179004,8.0,60,69
2022-10-31,05:38:09,5.267139039326628,8.0,70,52
2022-03-18,01:35:12,8.937969878615547,8.0,62,74
2022-09-26,02:13:07,8.052233417984317,8.0,97,67
2022-11-15,07:59:21,6.1850236245474655,8.0,91,54
2022-09-20,02:02:49,8.892428354116685,8.0,74,60
2022-12-12,04:09:07,7.396388519036774,8.0,69,92
2022-07-01,01:51:03,7.794640231544919,8.0,66,87
2022-08-29,01:20:59,5.1548943328847425,8.0,55,72
2022-02-10,02:08:09,6.703791487414479,8.0,95,88
2022-04-23,04:44:48,8.686876129169868,5.0,58,50
2022-07-20,01:12:40,6.3560078969309455,8.0,96,88
2022-12-24,04:51:58,7.632776761506934,5.0,91,86
2022-01-08,02:08:13,6.90789710291256,5.0,67,85
2022-12-31,01:10:03,5.475456068420837,5.0,58,60
2022-12-24,02:16:14,8.332690972852987,5.0,52,89
2022-01-14,06:35:58,8.10587323692197,8.0,76,99
2022-10-29,02:47:23,8.514141098070677,5.0,69,89
2022-12-15,01:35:24,9.567184295316306,8.0,70,94
2022-02-03,03:39:12,9.186958858383711,8.0,54,57
2022-08-07,00:36:34,9.4656169595246,8.0,78,89
2022-10-21,07:19:45,9.121409350032359,8.0,70,71
2022-10-25,00:35:50,6.949874984888886,8.0,70,90
2022-04-02,04:21:36,7.360815019451314,5.0,86,60
2022-08-23,04:50:53,6.605928366729347,8.0,63,61
2022-01-28,01:23:23,9.827094699273834,8.0,84,50
2022-10-01,04:56:22,5.342699690127014,5.0,96,94
2022-10-30,07:46:56,8.795335720345037,8.0,73,95
2022-03-27,05:41:38,5.992843287812784,8.0,56,58
2022-12-09,03:25:09,8.714330123622616,8.0,71,90
2022-12-02,04:03:42,8.730108512093656,8.0,79,96
2022-06-18,01:19:47,5.988571797109968,5.0,64,82
2022-03-19,01:49:19,5.194291776874077,5.0,76,91
2022-05-26,07:36:22,8.420475713817135,8.0,82,77
2022-05-08,04:25:17,9.011286751307102,8.0,93,88
2022-05-24,05:31:11,9.925021215934942,8.0,70,85
2022-04-15,05:44:19,9.619289006080876,8.0,52,54
2022-10-17,06:38:21,8.178736723533202,8.0,50,62
2022-09-07,01:14:53,8.062742315070599,8.0,58,94
2022-02-25,04:20:22,9.403946814744025,8.0,66,65
2022-05-13,02:51:52,6.554281997071875,8.0,98,63
2022-05-27,04:54:40,6.841156926675854,8.0,86,54
2022-08-19,02:19:58,8.695921327256423,8.0,66,100
2022-05-16,04:22:28,9.45758131240913,8.0,54,92
2022-09-06,00:16:22,9.77747457039078,8.0,58,50
2022-03-28,03:37:42,6.68761016491719,8.0,67,72
2022-06-22,03:01:33,8.316031048767186,8.0,71,79
2022-05-10,02:15:58,6.710802470693315,8.0,84,63
2022-04-04,02:01:28,6.078570614555549,8.0,97,74
2022-11-18,01:30:51,9.3596134739211,8.0,54,63
2022-09-25,02:06:03,7.265656281264382,8.0,58,73
2022-09-06,04:32:21,7.013171620538791,8.0,80,59
2022-12-06,07:23:51,6.525250246255224,8.0,70,59
2022-05-23,02:42:09,9.276857280828704,8.0,80,92
2022-08-23,00:00:01,8.41925555997693,8.0,100,85
2022-01-24,05:05:19,8.444366330489414,8.0,62,79
2022-04-24,02:55:02,7.52058778699366,8.0,69,96
2022-01-18,05:08:17,7.2854874417415765,8.0,58,89
2022-02-15,05:46:09,5.837777178239291,8.0,68,62
2022-07-26,07:51:37,6.0352727315904,8.0,98,89
2022-07-22,05:58:45,8.96480122753791,8.0,75,100
2022-02-12,02:23:15,7.040470955330835,5.0,69,61
2022-05-23,04:30:31,6.09538910137575,8.0,82,59
2022-05-29,02:33:11,7.460802675142951,8.0,52,61
2022-04-27,04:46:56,8.72186307346282,8.0,58,100
2022-07-19,01:39:58,9.53697395570514,8.0,94,77
2022-04-23,02:17:29,8.4890295634554,5.0,79,78
2022-01-25,02:22:06,8.561842188757858,8.0,58,86
2022-10-26,00:07:39,7.439036181337645,8.0,99,69
2022-12-20,05:55:13,8.545532557398449,8.0,90,69
2022-02-08,04:45:15,5.189486936248697,8.0,86,75
2022-08-18,05:57:19,7.221733352974464,8.0,51,52
2022-05-03,01:41:35,7.990360944408135,8.0,63,72
2022-09-21,03:22:04,5.87088968259328,8.0,75,66
2022-12-23,07:30:13,6.999997755524731,8.0,97,61
2022-08-27,00:45:07,8.248522829062123,5.0,75,51
2022-08-24,02:57:10,7.675513365403144,8.0,96,69
2022-11-24,07:30:01,5.764229341125852,8.0,82,66
2022-05-09,02:53:58,6.95788066344109,8.0,99,81
2022-01-10,01:36:48,6.0805650050863305,8.0,62,89
2022-12-29,06:23:59,9.183759234399501,8.0,100,64
2022-01-04,03:24:53,7.056146353090691,8.0,68,84
2022-10-18,02:27:20,9.372034974697348,8.0,92,92
2022-06-08,07:15:03,5.393741554739197,8.0,99,98
2022-11-11,02:55:05,8.445998506817991,8.0,71,96
2022-08-22,04:13:05,8.688085577894384,8.0,61,68
2022-02-21,02:40:59,7.296423338273653,8.0,83,84
2022-05-03,07:47:19,8.05235811026567,8.0,52,73
2022-07-21,00:21:58,9.034163338830748,8.0,61,96
2022-11-11,03:12:13,7.7936579909998756,8.0,81,80
2022-08-21,02:25:28,5.192817035086575,8.0,94,89
2022-07-09,00:14:42,8.323626873462423,5.0,79,65
2022-10-14,06:30:55,8.890305053750044,8.0,76,90
2022-05-09,07:22:35,7.0753367280227675,8.0,56,82
2022-02-04,02:06:25,5.370655946077615,8.0,63,67
2022-03-27,04:21:53,6.82615129102075,8.0,64,95
2022-10-05,02:49:58,7.327945313350776,8.0,90,81
2022-09-15,06:29:25,6.306946140732208,8.0,71,94
2022-04-05,04:18:21,5.046934359283358,8.0,61,55
2022-10-21,00:09:47,8.963728346000092,8.0,60,72
2022-11-09,06:01:05,7.131991594732078,8.0,71,80
2022-10-28,00:46:34,8.859892617037087,8.0,75,59
2022-12-03,02:09:19,5.917445562442644,5.0,73,77
2022-03-10,05:26:47,9.436159202061951,8.0,67,97
2022-06-12,05:01:52,7.250639645531873,8.0,77,72
2022-07-13,00:50:01,6.687335733483511,8.0,50,50
2022-08-25,03:35:10,6.557920813068746,8.0,84,78
2022-12-04,05:45:55,8.097065183561266,8.0,99,54
2022-10-03,07:35:43,6.913758051075445,8.0,87,63
2022-01-20,03:09:40,8.950389288103727,8.0,98,90
2022-10-02,03:50:58,6.397379443928906,8.0,73,100
2022-06-02,04:37:25,8.386019628963837,8.0,57,77
2022-12-25,00:17:45,8.334263611475478,8.0,72,72
2022-03-01,06:05:15,8.38663524153824,8.0,70,67
2022-03-15,04:27:30,7.0460968388822725,8.0,61,60
2022-09-19,07:14:24,9.870226349823136,8.0,95,72
2022-04-09,02:20:25,9.654300070928679,5.0,88,90
2022-09-24,04:12:16,5.3270069329859115,5.0,90,78
2022-05-11,05:33:59,6.83787352142443,8.0,50,94
2022-06-21,05:55:25,6.639141508997927,8.0,78,52
2022-12-13,06:11:40,6.884278721893619,8.0,56,82
2022-08-12,06:58:20,6.623807950356477,8.0,67,78
2022-04-26,06:17:07,9.55099634164836,8.0,81,67
2022-08-23,06:47:56,5.150308247795065,8.0,60,81
2022-01-20,04:11:48,9.339320188147575,8.0,63,59
2022-01-11,07:17:56,5.038932146306506,8.0,69,62
2022-06-13,03:31:35,8.751758830102764,8.0,97,87
2022-07-19,06:45:32,5.8570442623330745,8.0,59,75
2022-03-25,07:44:35,5.239482498097396,8.0,93,95
2022-05-31,07:31:40,7.644000454519687,8.0,86,50
2022-05-05,03:55:49,5.078865392944158,8.0,91,76
2022-11-15,05:38:16,7.005799979472201,8.0,90,83
2022-03-24,05:00:38,9.892929534050008,8.0,91,100
2022-05-05,04:41:36,9.856228076415377,8.0,52,82
2022-07-11,03:26:58,9.414872109366545,8.0,59,53
2022-02-21,05:21:11,5.297355378508971,8.0,70,86
2022-05-09,07:15:08,9.82489279332145,8.0,50,94
2022-07-14,01:24:51,6.477859953470914,8.0,66,93
2022-09-05,01:38:58,8.792477814591372,8.0,81,87
2022-04-02,02:32:03,9.404268620530122,5.0,69,86
2022-10-09,07:29:57,9.700579926002403,8.0,98,67
2022-07-27,05:42:26,7.309032269182617,8.0,90,82
2022-01-21,04:35:55,7.373182781965834,8.0,62,68
2022-08-16,06:44:14,6.981013225189427,8.0,96,72
2022-06-15,07:51:35,6.105455096243759,8.0,76,71
2022-05-10,06:30:11,8.984333263464855,8.0,86,80
2022-11-07,01:02:51,6.127946360272199,8.0,100,59
2022-02-07,07:00:50,8.566458553915995,8.0,60,91
2022-06-22,02:54:25,8.231185506200035,8.0,93,72
2022-08-20,04:27:20,7.518341115868359,5.0,92,91
2022-06-15,01:41:04,7.849268318144649,8.0,84,87
2022-05-10,06:45:10,5.858799733723339,8.0,65,72
2022-07-29,03:15:18,5.753399192172031,8.0,99,80
2022-12-13,01:48:08,8.649351008964985,8.0,82,92
2022-07-21,02:20:03,6.304396104262041,8.0,91,98
2022-06-04,00:45:05,8.206957469727179,5.0,86,98
2022-12-24,01:23:42,6.389805457617831,5.0,95,91
2022-07-22,00:37:03,6.0209856429764255,8.0,71,74
2022-04-27,06:59:30,6.635763032213378,8.0,86,70
2022-07-28,05:32:07,8.269681684110324,8.0,96,86
2022-09-25,04:01:26,9.679997490231564,8.0,52,98
2022-10-30,05:13:14,5.270890703492661,8.0,62,90
2022-08-15,07:53:44,8.360179147081968,8.0,52,70
2022-07-14,00:40:35,5.544586144151939,8.0,95,79
2022-08-14,02:21:02,7.249365628214486,8.0,62,98
2022-03-01,01:24:31,5.2328430902088545,8.0,67,76
2022-02-19,04:59:16,6.490186807636004,5.0,64,90
2022-06-26,00:51:24,7.520106321778704,8.0,60,76
2022-05-15,01:10:20,7.244665747522317,8.0,53,97
2022-06-30,06:11:45,6.526884287495037,8.0,82,68
2022-11-25,00:08:55,9.493615363910411,8.0,64,88
2022-02-26,04:12:34,6.533467398118052,5.0,71,74
2022-10-13,01:24:29,6.904598013995988,8.0,58,97
2022-10-06,01:39:15,7.697585363440682,8.0,62,89
2022-08-11,03:42:05,5.813765599286029,8.0,75,97
2022-02-26,02:32:00,7.3913105295591155,5.0,93,57
2022-12-17,02:09:58,6.68041474254644,5.0,52,85
2022-10-07,05:02:10,5.348611997533058,8.0,63,68
2022-08-07,05:50:22,9.419347995799916,8.0,72,100
2022-07-12,00:54:43,6.25789371909342,8.0,69,83
2022-10-28,07:23:40,8.439190613420632,8.0,67,87
2022-02-02,07:17:14,5.351297657272829,8.0,89,65
2022-03-27,04:58:58,6.148944656118747,8.0,76,68
2022-02-07,05:58:57,9.448465324402626,8.0,64,67
2022-11-12,03:53:58,8.324815228583475,5.0,73,97
2022-01-15,04:57:18,5.11015569748808,5.0,83,73
2022-07-05,07:36:12,8.444837828978667,8.0,67,60
2022-06-24,02:07:23,7.382788058302158,8.0,74,79
2022-10-23,07:47:59,5.515950994185079,8.0,83,90
2022-08-28,06:26:07,5.970164859555103,8.0,97,83
2022-11-10,04:02:43,5.434075135021843,8.0,69,96
2022-02-17,02:19:09,9.621963599534707,8.0,76,72
2022-08-19,04:00:06,8.520434448784254,8.0,96,64
2022-03-02,05:09:33,7.6925474339619715,8.0,64,63
2022-07-12,00:40:29,6.89406784985677,8.0,79,69
2022-04-16,01:55:29,8.089698514915312,5.0,81,56
2022-03-16,04:51:25,9.594698307923103,8.0,74,65
2022-10-10,04:59:15,6.821842018027477,8.0,96,94
2022-12-25,04:51:48,8.574422126127303,8.0,95,55
2022-04-15,00:04:48,9.712294006742756,8.0,95,99
2022-12-24,04:10:39,5.246475470751863,5.0,93,98
2022-03-03,00:02:47,9.462583268376333,8.0,56,65
2022-04-19,07:38:07,8.116458138435625,8.0,70,100
2022-01-04,05:23:30,6.786899504068353,8.0,89,79
2022-12-04,03:23:30,6.494580772708942,8.0,65,59
2022-06-22,02:27:12,5.936190253200926,8.0,70,68
2022-07-04,05:48:18,6.44863031491642,8.0,72,61
2022-12-19,03:25:01,7.326366174104958,8.0,99,86
2022-01-06,01:14:29,6.627623056035093,8.0,81,81
2022-06-09,05:29:43,7.762417637500398,8.0,60,87
2022-05-16,02:35:30,9.425009206762056,8.0,70,95
2022-04-22,07:08:28,8.950310727024776,8.0,85,74
2022-01-24,07:41:21,5.240275599477907,8.0,71,53
2022-04-11,07:57:17,8.276564796003838,8.0,73,56
2022-05-02,01:43:08,8.6395854972469,8.0,87,83
2022-06-12,06:42:40,5.406951387847343,8.0,53,100
2022-01-11,06:18:42,8.52673263178355,8.0,67,53
2022-08-03,02:49:02,7.950404424723809,8.0,99,53
2022-07-21,03:58:28,8.69300117972828,8.0,60,81
2022-07-16,03:09:14,5.227896875055716,5.0,69,50
2022-09-04,02:32:10,7.778282027394196,8.0,82,69
2022-01-28,00:22:36,6.811013996382991,8.0,99,52
2022-01-25,07:03:00,6.592880370901095,8.0,87,85
2022-01-03,05:43:38,8.943583031467377,8.0,94,93
2022-07-12,01:40:26,6.8661625555273575,8.0,73,97
2022-07-18,00:16:12,5.996830681795117,8.0,73,93
2022-11-22,00:30:39,8.53381490230895,8.0,59,100
2022-03-20,04:47:07,6.383999503284015,8.0,93,70
2022-10-07,03:21:50,8.267434804021137,8.0,91,98
2022-10-15,01:36:37,5.485670207143293,5.0,68,69
2022-07-31,03:24:50,9.868114506511567,8.0,96,53
2022-09-30,03:25:45,7.431347010995473,8.0,91,66
2022-11-04,03:48:13,8.848530557905834,8.0,94,60
2022-07-15,04:08:24,8.924437270749488,8.0,55,79
2022-10-16,02:06:33,6.6867657730538745,8.0,91,78
2022-10-19,06:14:03,8.527622980081086,8.0,70,95
2022-08-13,02:34:51,9.5035695468395,5.0,64,54
2022-07-17,03:03:28,8.050535610817834,8.0,82,76
2022-10-21,06:50:28,9.160092088382484,8.0,52,74
2022-07-24,03:16:44,6.423713711935854,8.0,89,90
2022-02-14,00:21:07,7.042217133643641,8.0,57,94
2022-01-24,01:22:00,8.488450982683869,8.0,87,59
2022-04-27,04:37:00,7.409271149564859,8.0,68,92
2022-09-26,07:20:15,7.00535732667791,8.0,69,57
2022-12-31,03:16:55,9.472819946503552,5.0,55,68
2022-10-27,00:06:43,8.220401673171649,8.0,100,69
2022-07-03,05:09:56,9.969366159595275,8.0,81,95
2022-04-08,06:58:21,9.90031148284351,8.0,83,60
2022-06-22,01:48:02,6.555908330014321,8.0,59,80
2022-03-24,04:11:52,7.5600874572950305,8.0,91,73
2022-04-05,03:37:45,7.795559157166162,8.0,85,53
2022-01-17,02:59:26,8.087513334877904,8.0,74,91
2022-05-27,02:04:11,8.531513476698265,8.0,73,80
2022-08-06,04:28:26,7.9610315858284,5.0,62,96
2022-09-22,00:55:09,7.984538691416203,8.0,63,71
2022-12-15,03:58:41,7.878819622040297,8.0,78,95
2022-01-03,02:23:27,8.926669360402073,8.0,87,80
2022-01-16,04:25:46,9.620553733237347,8.0,56,97
2022-01-05,06:59:52,6.313629979127052,8.0,82,71
2022-07-20,01:05:27,8.156703922240338,8.0,90,99
2022-10-14,02:02:45,6.621205857006389,8.0,74,53
2022-08-30,00:55:13,7.505442713998628,8.0,81,71
2022-11-05,03:55:50,9.542434912464298,5.0,84,99
2022-05-01,03:26:19,7.822809594258562,8.0,73,56
2022-12-08,05:37:15,5.261225078618873,8.0,54,61
2022-06-28,06:29:56,7.080528300478992,8.0,73,65
2022-08-08,01:14:44,9.55565808338482,8.0,67,84
2022-10-25,00:35:00,9.844207479240247,8.0,81,71
2022-04-22,04:05:27,9.208922878783243,8.0,89,92
2022-06-21,03:45:44,8.10416521816098,8.0,92,71
2022-12-14,03:50:08,8.284572919466104,8.0,53,91
2022-08-31,07:23:47,8.400787041273352,8.0,56,91
2022-04-26,06:44:58,9.783710354500741,8.0,100,80
2022-12-19,03:27:35,8.891475943262034,8.0,73,58
2022-02-17,05:30:56,9.13512012243251,8.0,63,58
2022-03-17,07:40:26,5.776739536401127,8.0,79,71
2022-02-10,03:35:53,8.639014302685197,8.0,93,81
2022-06-16,02:50:06,8.546865153175489,8.0,61,89
2022-08-29,05:29:59,5.715440636060015,8.0,79,72
2022-12-07,04:01:19,5.176143902167999,8.0,60,80
2022-05-13,05:56:06,7.464010145314829,8.0,85,65
2022-09-23,05:33:18,6.853139964406468,8.0,67,79
2022-01-19,07:58:57,5.575954293322039,8.0,55,71
2022-12-06,01:17:02,5.568566641378755,8.0,88,92
2022-11-23,02:38:31,9.929831988814364,8.0,62,83
2022-05-21,02:31:09,9.80878412344957,5.0,56,57
2022-10-16,02:05:49,8.732388858607502,8.0,72,92
2022-06-29,00:25:41,6.410723904697999,8.0,71,65
2022-03-24,02:11:20,6.004287811048092,8.0,55,53
2022-08-17,05:45:58,5.648685294158012,8.0,58,88
2022-03-16,07:20:11,8.622417445161187,8.0,54,93
2022-07-12,04:34:35,5.261475644963751,8.0,64,86
2022-05-23,00:04:33,5.565221178214077,8.0,94,51
2022-09-07,06:22:39,8.21216817574037,8.0,72,88
2022-07-19,00:59:12,7.855755164592786,8.0,59,53
2022-11-03,00:17:15,6.898792950422265,8.0,100,68
2022-11-04,05:29:31,6.480240896640271,8.0,67,85
2022-05-11,01:22:49,7.92769168112925,8.0,55,86
2022-06-07,00:25:23,6.662916941012947,8.0,58,68
2022-01-14,05:54:35,5.168685776590791,8.0,73,61
2022-01-05,02:32:27,5.507128886116709,8.0,78,72
2022-10-13,06:23:51,9.85095562312748,8.0,71,74
2022-12-27,01:28:39,8.109138588542232,8.0,74,63
2022-06-21,05:33:42,8.099809382211376,8.0,75,99
2022-06-19,07:09:05,6.901921498370909,8.0,59,96
2022-12-21,03:05:07,9.467000616370637,8.0,67,90
2022-04-24,06:16:04,6.0532135994049,8.0,85,100
2022-05-11,03:33:02,8.47172599360228,8.0,54,59
2022-07-02,00:17:04,6.460377530620587,5.0,93,78
2022-01-25,02:39:59,9.083264945316518,8.0,62,66
2022-05-27,05:17:55,9.473734190444278,8.0,96,68
2022-05-22,00:03:00,7.287705155228504,8.0,93,52
2022-11-25,00:23:10,9.130289404662498,8.0,99,57
2022-02-18,02:10:51,5.967484562375676,8.0,99,72
2022-03-11,07:55:16,5.400626580337134,8.0,60,90
2022-11-26,00:15:54,8.394904094534475,5.0,68,72
2022-06-15,04:45:47,6.322931294321339,8.0,79,64
2022-01-31,05:25:54,5.28672559332019,8.0,84,53
2022-06-23,06:56:14,7.729914195045747,8.0,84,60
2022-06-20,02:44:38,7.951927000025522,8.0,68,72
2022-02-15,00:31:59,9.168990410640298,8.0,74,66
2022-07-24,07:36:44,5.3199218634887755,8.0,52,97
2022-06-29,00:03:56,6.139703156202419,8.0,56,76
2022-08-08,07:50:25,6.051910500556747,8.0,79,55
2022-02-15,07:27:45,7.78657814626732,8.0,98,71
